timestamp,syscall,file,duration,process
17:24:20.031603,open,/bin/Info.plist,5e-06,bash.2596593
17:24:20.031989,access,/private/var/db/uuidtext/dsc/D7397D7F8DF9392081A7C0A144BE9C51,1.6e-05,logd.2595319
17:24:20.032087,openat,//Library/Preferences/Logging/com.apple.diagnosticd.filter.plist,1.1e-05,bash.2596593
17:24:20.033972,execve,/bin/ps,0.00055,bash.2596593
17:24:20.034120,fsgetpath,/usr/lib/dyld,5e-06,ps.2596594
17:24:20.034354,fsgetpath,/usr/lib/dyld,4e-06,ps.2596594
17:24:20.034429,fsgetpath,/bin/ps,3e-06,ps.2596594
17:24:20.034431,fsgetpath,/usr/lib/dyld,3e-06,ps.2596594
17:24:20.034474,openat,/../../System/Volumes/Preboot/Cryptexes/OS,1.1e-05,ps.2596594
17:24:20.034478,fstatat64,/System/Library/dyld,3e-06,ps.2596594
17:24:20.034487,openat,/System/Library/dyld,1e-05,ps.2596594
17:24:20.034495,fsgetpath,/System/Volumes/Preboot/Cryptexes/OS/System/Library/dyld/dyld_shared_cache_arm64e,2e-06,ps.2596594
17:24:20.034657,stat64,/bin/ps,9e-06,ps.2596594
17:24:20.034671,open,/bin/ps,1.4e-05,ps.2596594
17:24:20.034694,open,/bin/ps,1e-05,ps.2596594
17:24:20.035047,open,/dev/dtracehelper,3.3e-05,ps.2596594
17:24:20.035079,access,/AppleInternal/XBS/.isChrooted,1.3e-05,ps.2596594
17:24:20.035326,getattrlist,/bin/ps,7e-06,ps.2596594
17:24:20.035333,access,/bin,6e-06,ps.2596594
17:24:20.035337,open,/bin,5e-06,ps.2596594
17:24:20.035349,open,/bin/Info.plist,2e-06,ps.2596594
17:24:20.035534,open,/usr/share/locale/en_US.UTF-8/LC_NUMERIC,4e-05,ps.2596594
